article_number,image number,alt,article_heading,article_url
3,2,Pro-Palestinian protesters take to the streets after Saturday's rally on the State House lawn with a sizable police presence keeping the peace and blocking off traffic.,'It’s appalling what’s happening': Hundreds protest Israel-Hamas war at Providence rally,https://www.usatoday.com/story/news/local/2024/10/05/pro-palestine-rally-providence-hundreds-protest-israel-hamas-war-rhode-island-state-house/75534583007/
3,3,Counterprotesters identifying themselves as the Rhode Island Coalition for Israel approach demonstrators at the pro-Palestinian rally shouting at the speakers.,'It’s appalling what’s happening': Hundreds protest Israel-Hamas war at Providence rally,https://www.usatoday.com/story/news/local/2024/10/05/pro-palestine-rally-providence-hundreds-protest-israel-hamas-war-rhode-island-state-house/75534583007/
4,1,An American flag is suspended over a crowd of attendees at a Donald Trump campaign rally held Oct. 5 2024 in Butler Pa.,Trump rallies supporters in Butler where he survived an assassination attempt,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-rally-butler-pa-assassination-attempt-spot/75395246007/
4,2,Mark and Jodi Henry of Latrobe are shown next to paintings the couple brought to sell at a Donald Trump campaign rally in Butler Pa. on Oct. 5 2024.,Trump rallies supporters in Butler where he survived an assassination attempt,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-rally-butler-pa-assassination-attempt-spot/75395246007/
4,3,U.S. Rep. Mike Kelly whose 16th District includes Butler and Erie Pa. shakes hands with attendees during a Donald Trump campaign rally Oct. 5 2024 outside Butler Pa.,Trump rallies supporters in Butler where he survived an assassination attempt,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-rally-butler-pa-assassination-attempt-spot/75395246007/
5,1,Vice Mayor Jan-Michele Kearney right speaks with a guest at vice presidential candidate Tim Walz’s campaign fundraiser event Saturday Oct. 5 2024 at the National Underground Railroad Freedom Center in downtown Cincinnati.,Cincinnati Democrats welcome Tim Walz for fundraising event say he's the 'real deal',https://www.usatoday.com/story/news/politics/elections/2024/10/05/tim-walz-cincinnati-fundraising-event/75535470007/
5,2,Students for Justice in Palestine protest outside of a fundraiser event for vice presidential candidate Tim Walz Saturday Oct. 5 2024 at the National Underground Railroad Freedom Center in downtown Cincinnati.,Cincinnati Democrats welcome Tim Walz for fundraising event say he's the 'real deal',https://www.usatoday.com/story/news/politics/elections/2024/10/05/tim-walz-cincinnati-fundraising-event/75535470007/
5,3,Actor and director Mario Van Peebles waits in line at a campaign event for Tim Walz the Democratic nominee for vice president Saturday Oct. 5 2024 at the National Underground Railroad Freedom Center in downtown Cincinnati.,Cincinnati Democrats welcome Tim Walz for fundraising event say he's the 'real deal',https://www.usatoday.com/story/news/politics/elections/2024/10/05/tim-walz-cincinnati-fundraising-event/75535470007/
5,4,Security escorts Tim Walz the Democratic nominee for vice president through downtown Cincinnati after campaign fundraiser event at the National Underground Railroad Freedom Center Saturday Oct. 5 2024.,Cincinnati Democrats welcome Tim Walz for fundraising event say he's the 'real deal',https://www.usatoday.com/story/news/politics/elections/2024/10/05/tim-walz-cincinnati-fundraising-event/75535470007/
6,1,Texas Gov. Greg Abbott speaks during Iowa Gov. Kim Reynolds' Harvest Festival fundraiser at Oman Family Youth Inn at the Iowa State Fairgrounds on Saturday Oct. 5 2024 in Des Moines.,Texas Gov. Greg Abbott thanks Iowa for sending National Guard to border at Reynolds event,https://www.usatoday.com/story/news/politics/elections/2024/10/05/kim-reynolds-harvest-festival-greg-abbott-thanks-iowa-for-sending-national-guard-troops-to-border/75536007007/
6,2,Gov. Kim Reynolds speaks during her Harvest Festival fundraiser at Oman Family Youth Inn at the Iowa State Fairgrounds on Saturday Oct. 5 2024 in Des Moines.,Texas Gov. Greg Abbott thanks Iowa for sending National Guard to border at Reynolds event,https://www.usatoday.com/story/news/politics/elections/2024/10/05/kim-reynolds-harvest-festival-greg-abbott-thanks-iowa-for-sending-national-guard-troops-to-border/75536007007/
6,3,U.S. Sen. Joni Ernst speaks during Gov. Kim Reynolds' Harvest Festival fundraiser at Oman Family Youth Inn at the Iowa State Fairgrounds on Saturday Oct. 5 2024 in Des Moines.,Texas Gov. Greg Abbott thanks Iowa for sending National Guard to border at Reynolds event,https://www.usatoday.com/story/news/politics/elections/2024/10/05/kim-reynolds-harvest-festival-greg-abbott-thanks-iowa-for-sending-national-guard-troops-to-border/75536007007/
7,1,Sept. 14 2024 in Springfield Ohio. The city has nearly 60000 residents. Officials acknowledge the headaches posed by the arrival of as many as 15000 Haitian migrants but say there is no evidence to support the claim that they are eating anyone's pets. Springfield Mayor Rob Rue has called on national leaders to temper their words and tell the truth. SAMANTHA MADAR/THE COLUMBUS DISPATCH,What racist attacks against Haitians in Ohio mean for immigrant voters in New Jersey,https://www.usatoday.com/story/news/new-jersey/2024/10/05/qu-significan-los-ataques-racistas-contra-los-haitianos-en-ohio-para-los-electores-inmigrantes/75535624007/
8,1,People wait in line to enter the National Underground Railroad Freedom Center for a campaign fundraiser event for vice presidential candidate Tim Walz on Saturday.,Cincinnati Democrats welcome Tim Walz for fundraising event say he's the 'real deal',https://www.usatoday.com/story/news/politics/2024/10/05/tim-walz-headlines-cincinnati-fundraising-event-for-campaign/75519458007/
8,2,Former state health director Amy Acton speaks with guests after a campaign fundraiser event for vice presidential candidate Tim Walz.,Cincinnati Democrats welcome Tim Walz for fundraising event say he's the 'real deal',https://www.usatoday.com/story/news/politics/2024/10/05/tim-walz-headlines-cincinnati-fundraising-event-for-campaign/75519458007/
9,1,Vice President Kamala Harris and former President Donald Trump.,From borders to 'Handmaid's Tale': What scares Trump Harris voters most in Michigan,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-harris-voters-michigan/75533787007/
9,2,Chris Monk,From borders to 'Handmaid's Tale': What scares Trump Harris voters most in Michigan,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-harris-voters-michigan/75533787007/
9,3,Scott Doyen,From borders to 'Handmaid's Tale': What scares Trump Harris voters most in Michigan,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-harris-voters-michigan/75533787007/
9,4,Shonda Edgerly 51 of Lapeer at a Kamala Harris rally in Flint Mich. Oct. 4 2024.,From borders to 'Handmaid's Tale': What scares Trump Harris voters most in Michigan,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-harris-voters-michigan/75533787007/
9,5,LaShawn Lenton 53 of Flint Township at the Kamala Harris rally in Flint Mich. Oct. 4 2024.,From borders to 'Handmaid's Tale': What scares Trump Harris voters most in Michigan,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-harris-voters-michigan/75533787007/
9,6,Eugene Behme 66 of Flint at a Kamala Harris rally in Flint Oct. 4 2024.,From borders to 'Handmaid's Tale': What scares Trump Harris voters most in Michigan,https://www.usatoday.com/story/news/politics/elections/2024/10/05/trump-harris-voters-michigan/75533787007/
10,1,,US Senate candidate Kari Lake unveils plan to cut costs when buying a home,https://www.usatoday.com/story/noticias/2024/10/05/kari-lake-propone-plan-de-vivienda-asequible-en-arizona/75512396007/
10,2,Rep. Ruben Gallego answers questions during a town hall at the Pebble Creek Tuscany Clubhouse in Goodyear on April 3 2024.,US Senate candidate Kari Lake unveils plan to cut costs when buying a home,https://www.usatoday.com/story/noticias/2024/10/05/kari-lake-propone-plan-de-vivienda-asequible-en-arizona/75512396007/
